trade_date,net_pnl,sentiment_value
2023-01-05,0.0,29.0
2023-05-12,-12.501455,49.0
2024-01-01,-195.59132699999998,65.0
2024-01-02,-0.5020439999999999,71.0
2024-01-03,8244.788263,70.0
2024-01-04,2424.212044,68.0
2024-01-05,-30.458908,72.0
2024-01-06,87.018313,70.0
2024-01-07,4640.516283,71.0
2024-01-08,58.98498099999998,71.0
2024-01-09,133.107232,76.0
2024-01-10,-48.98401,73.0
2024-01-11,949.820861,76.0
2024-01-12,40640.98074262,71.0
2024-02-01,753.64194,63.0
2024-02-02,364.853837,63.0
2024-02-03,231.36972899999995,60.0
2024-02-04,803.628238,60.0
2024-02-06,185.114035,64.0
2024-02-07,2409.794386,62.0
2024-02-08,636.847729,66.0
2024-02-09,-10.500148,72.0
2024-02-10,-34.984016999999994,74.0
2024-02-11,-13.999997,71.0
2024-02-12,18341.71649941,70.0
2024-03-01,767.390696,80.0
2024-03-02,113.64683800000003,80.0
2024-03-03,8363.593348,83.0
2024-03-04,125.12719899999999,82.0
2024-03-05,5207.106364,90.0
2024-03-06,557.430122,75.0
2024-03-07,1055.7586019999999,82.0
2024-03-08,355.53659400000004,81.0
2024-03-10,53.848290999999996,79.0
2024-03-11,-40.404152,82.0
2024-03-12,23245.966193289998,81.0
2024-04-01,-92.551772,79.0
2024-04-02,-2.9029850000000166,79.0
2024-04-03,27800.335191,71.0
2024-04-04,-33.595684999999996,70.0
2024-04-05,-20.649559,79.0
2024-04-06,44.778485,75.0
2024-04-07,-113.02464499999999,78.0
2024-04-08,-123117.903118,76.0
2024-04-09,1002.214905,80.0
2024-04-10,0.0,78.0
2024-04-11,2641.2762940000002,76.0
2024-04-12,292719.20860335,79.0
2024-05-01,-261.844074,54.0
2024-05-02,-199.00365900000008,43.0
2024-05-03,19795.464500000002,48.0
2024-05-04,10603.054168,67.0
2024-05-05,-7.496778,69.0
2024-05-06,48.951446000000004,71.0
2024-05-07,-95.130717,68.0
2024-05-08,-13216.384327,64.0
2024-05-09,0.0,55.0
2024-05-10,5555.200121,66.0
2024-05-11,608.256404,53.0
2024-05-12,71221.35276477,56.0
2024-06-01,60.95132200000004,72.0
2024-06-02,-1204.222904,73.0
2024-06-03,6818.1804569999995,73.0
2024-06-04,212.45685699999999,73.0
2024-06-05,896.484634,75.0
2024-06-06,237.093763,78.0
2024-06-07,-235.481982,77.0
2024-06-08,204.696769,72.0
2024-06-09,-1118.523241,75.0
2024-06-10,25.441386,72.0
2024-06-11,2774.46982,74.0
2024-06-12,-93316.63768087,72.0
2024-07-01,-1097.893699,53.0
2024-07-02,240.902427,51.0
2024-07-04,-17.495845,44.0
2024-07-05,845.4986319999999,29.0
2024-07-06,8529.504751999999,26.0
2024-07-07,61.379067,29.0
2024-07-08,185.0370512,28.0
2024-07-10,-76.994616,28.0
2024-07-11,4467.17469362,29.0
2024-07-12,85797.8270291,25.0
2024-08-01,-650.4875030000002,52.0
2024-08-02,767.7531369999999,57.0
2024-08-03,4275.557865,37.0
2024-08-04,1156.636152,34.0
2024-08-05,-21.511066,26.0
2024-08-06,95.065702,17.0
2024-08-07,-0.0156,29.0
2024-08-08,-47.360212,20.0
2024-08-09,0.0,48.0
2024-08-10,5244.4424180000005,40.0
2024-08-11,-158.29179800000006,39.0
2024-08-12,15731.75455254,25.0
2024-09-01,-1030.3627910000002,26.0
2024-09-03,9947.64986,26.0
2024-09-04,-19.972341,27.0
2024-09-05,1069.9077240000001,29.0
2024-09-06,-7.515775,22.0
2024-09-07,648.586844,23.0
2024-09-08,17896.81689532,29.0
2024-09-09,-34.9079,26.0
2024-09-10,318.922753,33.0
2024-09-11,36.724437,37.0
2024-09-12,6136.19423957,31.0
2024-10-01,-1951.136207,50.0
2024-10-03,2480.646128,37.0
2024-10-04,5084.335852,41.0
2024-10-05,2046.833005,49.0
2024-10-06,16.570477,50.0
2024-10-07,11736.969867,50.0
2024-10-08,-50.0831879,49.0
