feature,importance
cat__position_Short,0.22372206801869482
cat__Side_BUY,0.1524180327798882
cat__Side_SELL,0.14828010872131187
cat__position_Long,0.12077303818380718
num__Fee,0.08779913068843917
num__sentiment_value,0.06558292788828594
cat__position_Other,0.05190669392701594
cat__Coin_@107,0.036356635704382675
num__Size USD,0.022252386071321042
cat__Coin_ETH,0.01630537285443291
cat__Coin_BTC,0.007084647892123259
cat__Coin_kBONK,0.006218519447844827
cat__Coin_HYPE,0.006008467809723069
cat__Coin_IO,0.003705701546663301
cat__Coin_MELANIA,0.003391366837646698
cat__Coin_FTT,0.0030572467615913356
cat__Coin_@4,0.002906275080976463
cat__Coin_PURR/USDC,0.002760554131843731
cat__Coin_W,0.002594691960308143
cat__Coin_PURR,0.002232728152515858
