Account,total_pnl,avg_pnl,trades,total_fees
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1471955.88,281.98,5220,6538.81
0x083384f897ee0f19899168e3b1bec365f52a9012,961172.44,386.63,2486,4416.3
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,204137.44,35.72,5715,1514.86
0xbaaaf6571ab7d571043ff1e313a9609a10637864,199363.76,77.82,2562,1990.16
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,197224.54,696.91,283,70.4
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,142060.52,61.44,2312,523.18
0x513b8629fe877bb581bf244e326a047b249c4ff1,58785.7,112.62,522,1758.6
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,58225.2,21.27,2737,309.68
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,43436.44,54.71,794,1663.53
0x2c229d22b100a7beb69122eed721cee9b24011dd,42687.83,112.93,378,352.95
0x8170715b3b381dffb7062c0298972d4727a0a63b,38181.86,86.97,439,122.42
0xb899e522b5715391ae1d4f137653e7906c5e2115,37963.88,111.66,340,2306.94
0x4f93fead39b70a1824f981a54d4e55b278e9f760,29931.11,16.77,1785,8937.73
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,27560.72,105.6,261,157.18
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20672.86,97.98,211,252.65
